Model,Accuracy,Precision (PII),Recall (PII),F1 (PII),Precision (Safe),Recall (Safe),F1 (Safe),Macro-F1,Balanced Acc,MCC,FNR (leak rate),FPR (false alarm),N,TN,FP,FN,TP,Family,Features,Eval set,canonical
Logistic Regression,0.8326521832652183,0.8478260869565217,0.9160357566359573,0.8806120659417748,0.7920478933694792,0.6604502213431289,0.7202876219825372,0.8004498439621559,0.788242988989543,0.6073535850981743,0.08396424336404269,0.3395497786568711,32543,7012,3605,1841,20085,Classical ML,"combined (50,018)",test,True
Naive Bayes,0.7354577021171987,0.744483201762438,0.9247468758551491,0.8248815117674578,0.6891484551620196,0.34454177262880287,0.45940345368916796,0.6421424827283129,0.634644324241976,0.34171930415626794,0.07525312414485086,0.6554582273711972,32543,3658,6959,1650,20276,Classical ML,"combined (50,018)",test,True
Linear SVM,0.8328980118612298,0.8507786571355629,0.911931040773511,0.8802940917495817,0.7864174317000332,0.6696807007629274,0.7233696205107337,0.8018318561301577,0.7908058707682192,0.6087698472558231,0.0880689592264891,0.3303192992370726,32543,7110,3507,1931,19995,Classical ML,"combined (50,018)",test,True
MLP (Neural Net),0.8135082813508281,0.8134413915793635,0.9384292620633038,0.8714766735139026,0.8137417218543046,0.5555241593670528,0.6602854743912678,0.7658810739525852,0.7469767107151783,0.5565961235437271,0.06157073793669616,0.44447584063294715,32543,5898,4719,1350,20576,Neural Net,"combined (50,018)",test,True
MLP @0.5 (reference),0.8270288541314569,0.8782084010211186,0.8629480981483171,0.8705113753996918,0.726768503364248,0.7528492041066215,0.7395789960675457,0.8050451857336187,0.8078986511274693,0.6103631260545256,0.13705190185168292,0.24715079589337854,32543,7993,2624,3005,18921,Neural Net,"combined (50,018)",test,False
DistilBERT,0.9741572688442983,0.9819869245188132,0.9796132445498495,0.9807986483709674,0.9581068416119962,0.96288970518979,0.960492319255884,0.9706454838134257,0.9712514748698198,0.9412975871689753,0.020386755450150507,0.03711029481021004,32543,10223,394,447,21479,Transformer,sub-word tokens,test,True
DistilBERT (val),0.9765841066928892,0.9838591678097851,0.9813463468028825,0.9826011507900265,0.9616754122938531,0.966748304446119,0.9642051860202931,0.9734031684051598,0.9740473256245008,0.94681375041094,0.01865365319711758,0.03325169555388093,32542,10263,353,409,21517,Transformer,sub-word tokens,validation,False
Phi-4 LLM,0.7373333333333333,0.8087130696044066,0.7991093518060366,0.8038825286212046,0.5952143569292123,0.609805924412666,0.6024217961654893,0.703152162393347,0.7044576381093512,0.4064136995640089,0.20089064819396338,0.390194075587334,3000,597,382,406,1615,LLM baseline,prompted (zero-shot),test-subset,True
DistilBERT (Phi-4 subset),0.972,0.9787444389520514,0.9797130133597229,0.9792284866468843,0.9580348004094166,0.9560776302349336,0.9570552147239264,0.9681418506854054,0.9678953217973283,0.9362848109993993,0.02028698664027709,0.043922369765066395,3000,936,43,41,1980,Transformer,sub-word tokens,test-subset,False
